FORECAST,AVERAGE PAYMENT,AVERAGE BILL,CREDIT SCORES,AGE,SEX,MARRIAGE,EDUCATION,LAST PAYMENT
131676.81,2446.333333333330,44655.5,667,40,Female,Married,University,Use of Revolving Credit
206648.3,7002.833333333330,107145.5,684,early 30s,Female,Single,Graduate School,Use of Revolving Credit
74481.19,2101.333333333330,45485.5,660,early 20s,Male,Single,University,Use of Revolving Credit
110031.8,1750.0,27752.5,670,early 30s,Female,Single,University,Use of Revolving Credit
156686.98,3364.1666666666700,10206.833333333300,680,early 20s,Female,Single,Graduate School,No Consumption
62840.734,2223.333333333330,26127.0,659,early 20s,Male,Single,University,Use of Revolving Credit
254738.6,14491.166666666700,13063.0,707,late 20s,Male,Single,Graduate School,Paid In Full
95621.08,426.0,350.0,674,early 20s,Female,Married,University,Late Payment
177042.98,3100.0,73726.33333333330,685,late 20s,Female,Single,Graduate School,Use of Revolving Credit
33916.72,735.8333333333330,9327.333333333330,661,early 20s,Female,Single,High School,Use of Revolving Credit
125370.61,1666.6666666666700,29533.166666666700,678,early 30s,Female,Married,University,Use of Revolving Credit
62652.22,1132.3333333333300,16438.333333333300,651,40,Male,Single,High School,Use of Revolving Credit
117033.555,1672.3333333333300,46189.833333333300,674,40,Male,Married,Graduate School,Late Payment
124098.71,1838.6666666666700,77618.66666666670,670,late 20s,Male,Single,University,Late Payment
49472.72,1227.6666666666700,22209.5,658,early 20s,Male,Single,High School,Use of Revolving Credit
211520.14,6869.5,167199.16666666700,686,early 30s,Female,Single,High School,Late Payment
149456.25,1750.0,26441.83333333330,687,early 30s,Female,Married,Graduate School,Use of Revolving Credit
158406.81,1463.5,29546.33333333330,667,40,Male,Married,University,Paid In Full
51718.08,1767.0,32269.666666666700,667,40,Female,Married,High School,Late Payment
51402.242,840.1666666666670,8901.5,667,40,Female,Married,University,Late Payment
155742.36,2720.1666666666700,74213.66666666670,680,late 30s,Female,Married,University,Use of Revolving Credit
131782.27,1245.8333333333300,28465.5,669,40,Male,Single,Graduate School,Late Payment
237581.56,6924.0,182635.3333333330,683,late 20s,Female,Single,University,Use of Revolving Credit
93329.04,3951.0,39504.0,665,early 20s,Female,Single,University,Use of Revolving Credit
205825.05,2732.5,3195.833333333330,687,late 20s,Female,Single,Graduate School,Paid In Full
201768.53,18672.83333333330,89122.83333333330,651,late 30s,Male,Married,University,Use of Revolving Credit
52366.812,650.3333333333330,6037.166666666670,663,early 20s,Female,Single,University,Use of Revolving Credit
116935.57,2253.6666666666700,58993.16666666670,670,early 30s,Male,Single,High School,Late Payment
79961.04,2166.6666666666700,52804.333333333300,678,late 30s,Female,Single,University,Late Payment
115749.01,2053.0,48057.333333333300,673,early 20s,Male,Single,Graduate School,Use of Revolving Credit
205292.33,184.16666666666700,190.0,687,early 30s,Female,Single,Graduate School,Paid In Full
65057.1,2390.0,37021.0,668,early 20s,Male,Single,Graduate School,Use of Revolving Credit
133592.88,3153.833333333330,62699.833333333300,674,late 20s,Male,Single,Graduate School,Use of Revolving Credit
6733.556,650.0,19954.5,670,early 20s,Female,Married,High School,Late Payment
49133.945,1437.6666666666700,31596.33333333330,678,early 20s,Female,Single,Graduate School,Late Payment
131821.53,559.3333333333330,2147.833333333330,680,early 30s,Female,Single,Graduate School,Use of Revolving Credit
90398.56,1151.6666666666700,20060.5,669,late 30s,Male,Married,High School,Use of Revolving Credit
166171.92,13833.333333333300,72488.16666666670,660,early 30s,Male,Single,High School,Use of Revolving Credit
207250.12,5125.0,79799.5,703,late 20s,Female,Single,Graduate School,Use of Revolving Credit
98539.73,1336.5,28669.0,663,40,Female,Married,High School,Use of Revolving Credit
194312.4,4566.666666666670,81557.16666666670,693,late 20s,Male,Single,Graduate School,Use of Revolving Credit
179432.47,1443.0,1443.0,681,late 30s,Male,Married,University,Paid In Full
124170.81,2489.0,32480.166666666700,668,40,Female,Married,University,Use of Revolving Credit
184426.47,3552.833333333330,68270.33333333330,687,early 20s,Female,Single,Graduate School,Paid In Full
103043.5,966.0,13014.333333333300,659,40,Female,Single,University,Use of Revolving Credit
130372.88,8000.0,55819.16666666670,674,late 20s,Male,Married,High School,Late Payment
60880.242,1444.8333333333300,29312.166666666700,667,early 20s,Male,Married,High School,Use of Revolving Credit
106723.23,1493.3333333333300,34721.666666666700,674,early 20s,Male,Single,Graduate School,Use of Revolving Credit
334836.84,27886.5,170100.5,623,late 30s,Female,Divorced,Others,Use of Revolving Credit
165644.77,4115.166666666670,107120.0,678,late 30s,Male,Single,High School,Use of Revolving Credit
48587.594,997.1666666666670,10518.0,659,early 20s,Male,Single,University,Use of Revolving Credit
120599.484,3316.6666666666700,81658.66666666670,681,early 20s,Female,Married,University,Late Payment
175103.28,13745.666666666700,58626.833333333300,658,early 30s,Female,Single,University,Use of Revolving Credit
107871.48,1631.5,42082.5,660,40,Female,Single,High School,Use of Revolving Credit
121630.195,1291.3333333333300,39009.16666666670,662,40,Male,Married,University,Use of Revolving Credit
164289.69,10494.0,19067.83333333330,687,late 30s,Female,Married,University,Use of Revolving Credit
134366.62,3769.5,100109.83333333300,672,early 20s,Female,Single,University,Use of Revolving Credit
125347.555,1916.6666666666700,37742.16666666670,667,40,Female,Married,University,Use of Revolving Credit
61022.766,1077.0,13378.166666666700,660,early 20s,Male,Single,University,Use of Revolving Credit
231971.78,7110.833333333330,189190.8333333330,680,40,Female,Married,High School,Use of Revolving Credit
159810.6,2168.0,54768.833333333300,671,40,Male,Married,Graduate School,Use of Revolving Credit
119006.164,2585.6666666666700,22957.666666666700,668,late 20s,Male,Single,University,Use of Revolving Credit
177700.69,2790.833333333330,87273.5,689,late 20s,Female,Single,Graduate School,Late Payment
204633.16,791.0,767.6666666666670,685,early 30s,Female,Married,University,Paid In Full
167973.27,18731.33333333330,34666.166666666700,652,40,Female,Married,University,Use of Revolving Credit
146886.61,19348.0,59822.0,643,early 20s,Male,Single,University,Use of Revolving Credit
102395.516,730.1666666666670,7488.833333333330,670,early 30s,Male,Married,University,Use of Revolving Credit
277346.84,19833.33333333330,213182.0,667,late 30s,Male,Married,High School,Use of Revolving Credit
116387.93,4515.0,8893.666666666670,670,40,Female,Married,University,Use of Revolving Credit
305807.38,15370.666666666700,193227.5,713,late 30s,Female,Married,Graduate School,Use of Revolving Credit
172683.64,5267.5,131269.16666666700,651,early 30s,Male,Divorced,University,Late Payment
173951.22,3997.6666666666700,95597.0,678,early 30s,Male,Married,University,Use of Revolving Credit
476994.6,21828.5,460169.1666666670,689,40,Male,Married,Graduate School,Use of Revolving Credit
85759.734,2166.1666666666700,36247.833333333300,666,early 20s,Female,Single,University,Use of Revolving Credit
167232.64,10275.333333333300,79105.33333333330,675,early 20s,Female,Married,Graduate School,Use of Revolving Credit
62569.516,532.8333333333330,3726.0,664,early 20s,Female,Single,University,Use of Revolving Credit
89217.625,570.1666666666670,15484.166666666700,670,early 20s,Male,Single,Graduate School,Use of Revolving Credit
154513.28,2879.6666666666700,78812.83333333330,674,late 20s,Male,Single,University,Use of Revolving Credit
207381.1,2859.833333333330,77011.16666666670,688,early 30s,Female,Married,University,Paid In Full
94846.21,1323.0,45038.5,675,early 20s,Female,Married,University,Use of Revolving Credit
409469.06,55602.0,183621.16666666700,687,late 20s,Female,Married,University,Use of Revolving Credit
59245.414,1466.6666666666700,26205.166666666700,661,40,Female,Single,High School,Late Payment
153594.86,3384.5,88123.0,664,40,Male,Single,University,Late Payment
94155.7,2500.0,11003.833333333300,673,early 20s,Male,Single,Graduate School,Use of Revolving Credit
115010.21,707.5,23837.5,672,early 30s,Male,Married,University,Use of Revolving Credit
77936.57,547.1666666666670,2756.1666666666700,651,40,Male,Single,High School,Use of Revolving Credit
90422.53,897.1666666666670,2899.833333333330,678,early 20s,Female,Single,Graduate School,Late Payment
140551.22,2592.333333333330,56774.5,668,40,Female,Married,University,Use of Revolving Credit
233152.14,6889.666666666670,7259.166666666670,701,early 30s,Female,Married,Graduate School,Paid In Full
199944.58,6195.333333333330,7899.0,681,late 30s,Female,Single,University,Paid In Full
68147.15,1677.0,40143.66666666670,672,early 20s,Female,Single,University,Late Payment
49199.383,1633.3333333333300,22661.166666666700,665,early 20s,Male,Single,High School,Late Payment
120825.57,4850.0,136605.66666666700,671,early 20s,Female,Single,University,Late Payment
222925.12,2467.1666666666700,2632.333333333330,685,early 30s,Male,Single,Graduate School,Paid In Full
122009.79,1360.0,44327.66666666670,684,early 20s,Female,Single,Graduate School,Use of Revolving Credit
95064.445,2585.0,75058.0,667,early 20s,Female,Single,High School,Use of Revolving Credit
71918.73,833.3333333333330,12845.0,671,early 20s,Male,Single,Graduate School,Late Payment
162855.95,2850.0,78503.0,676,early 30s,Male,Single,University,Use of Revolving Credit
51425.742,1675.5,49482.833333333300,661,early 20s,Female,Single,High School,Use of Revolving Credit
195566.98,573.0,521.6666666666670,687,late 20s,Female,Single,Graduate School,Paid In Full
156014.8,5500.0,125737.5,673,early 20s,Female,Single,University,Use of Revolving Credit
262088.19,26932.83333333330,140389.0,650,late 20s,Female,Single,University,Use of Revolving Credit
328239.6,32508.0,186730.8333333330,687,late 20s,Female,Single,Graduate School,Use of Revolving Credit
94277.055,1086.1666666666700,17426.0,674,early 20s,Female,Single,Graduate School,Use of Revolving Credit
124953.59,2102.5,59605.66666666670,668,40,Female,Married,High School,Use of Revolving Credit
279746.38,7841.666666666670,207830.0,695,early 30s,Female,Single,Graduate School,Use of Revolving Credit
150531.88,2626.6666666666700,95304.16666666670,683,late 20s,Female,Single,University,Late Payment
123122.734,4437.666666666670,11855.166666666700,670,40,Female,Married,University,Use of Revolving Credit
100391.08,2633.0,58126.66666666670,667,early 20s,Female,Single,University,Use of Revolving Credit
157815.75,6316.833333333330,66403.66666666670,676,early 30s,Female,Single,High School,Use of Revolving Credit
58919.68,1333.3333333333300,18974.166666666700,664,early 20s,Female,Single,University,Use of Revolving Credit
180202.25,5425.833333333330,126992.83333333300,673,40,Female,Married,High School,Use of Revolving Credit
15839.307,1166.8333333333300,23200.0,662,early 20s,Male,Single,University,Late Payment
66220.61,1034.5,39677.0,671,early 20s,Female,Single,University,Late Payment
232443.34,7851.333333333330,168092.66666666700,675,40,Female,Married,University,Use of Revolving Credit
73477.05,4333.333333333330,34593.0,668,early 20s,Male,Single,University,Late Payment
115354.52,1649.3333333333300,30720.83333333330,661,40,Male,Married,University,Use of Revolving Credit
130956.25,1813.0,49142.333333333300,663,40,Female,Single,University,Use of Revolving Credit
104577.01,1516.5,38817.0,671,late 30s,Male,Married,High School,Use of Revolving Credit
141895.39,7367.166666666670,9900.666666666670,678,early 30s,Male,Married,University,Use of Revolving Credit
152609.27,3333.333333333330,62234.5,681,early 30s,Female,Married,University,Use of Revolving Credit
102760.24,2781.6666666666700,68891.16666666670,675,early 20s,Female,Single,Graduate School,Use of Revolving Credit
126101.195,1696.5,51966.66666666670,682,late 30s,Female,Married,High School,Use of Revolving Credit
154705.69,2683.333333333330,49260.0,687,late 30s,Female,Married,Graduate School,Use of Revolving Credit
407799.47,51072.66666666670,53642.333333333300,712,40,Female,Married,University,No Consumption
198326.48,3699.6666666666700,102764.33333333300,684,late 20s,Male,Single,Graduate School,Use of Revolving Credit
92991.13,2671.0,15647.833333333300,672,late 20s,Female,Single,High School,Use of Revolving Credit
65623.586,1479.1666666666700,27318.5,664,early 20s,Female,Single,University,Use of Revolving Credit
91690.01,1800.0,32529.83333333330,681,early 30s,Female,Married,University,Late Payment
114682.09,5956.0,17162.5,669,40,Female,Married,High School,Use of Revolving Credit
113987.13,1182.6666666666700,20755.33333333330,677,late 30s,Female,Married,University,Use of Revolving Credit
127684.25,1916.6666666666700,37349.0,678,late 30s,Female,Married,University,Use of Revolving Credit
97392.01,1980.6666666666700,60712.66666666670,673,early 20s,Female,Single,University,Use of Revolving Credit
116045.47,2666.6666666666700,30654.83333333330,669,late 20s,Male,Single,University,Use of Revolving Credit
207755.6,4037.1666666666700,5887.333333333330,689,early 30s,Female,Single,Graduate School,Paid In Full
187751.8,6596.333333333330,128755.16666666700,673,late 20s,Female,Single,University,Use of Revolving Credit
95960.87,1231.5,17415.333333333300,679,late 30s,Male,Single,Graduate School,Late Payment
71351.92,1916.6666666666700,25186.166666666700,661,early 20s,Male,Single,University,Use of Revolving Credit
147021.52,1618.8333333333300,37553.16666666670,688,early 30s,Female,Married,Graduate School,Use of Revolving Credit
57771.594,996.5,13848.833333333300,663,early 30s,Male,Single,University,Use of Revolving Credit
80327.78,3366.6666666666700,35569.5,669,early 20s,Female,Single,University,Use of Revolving Credit
151011.62,3349.0,65863.83333333330,680,late 20s,Female,Single,University,Use of Revolving Credit
68860.336,2400.0,19131.5,661,early 20s,Male,Single,University,Use of Revolving Credit
104865.305,1732.3333333333300,8515.0,666,early 30s,Male,Single,University,Use of Revolving Credit
76460.72,1415.3333333333300,18579.666666666700,679,late 20s,Female,Married,University,Late Payment
276414.94,9565.0,200094.8333333330,706,early 30s,Male,Married,University,Late Payment
5958.572,733.5,17825.833333333300,661,early 20s,Male,Single,University,Late Payment
107379.445,2150.0,33433.833333333300,660,40,Male,Married,University,Use of Revolving Credit
186121.3,2180.0,2772.833333333330,688,late 30s,Male,Married,Graduate School,Paid In Full
152274.2,2973.833333333330,48519.5,681,late 20s,Male,Single,Graduate School,Late Payment
92346.34,1358.3333333333300,27099.33333333330,679,late 30s,Male,Single,Graduate School,Late Payment
90905.984,2032.1666666666700,42930.333333333300,672,early 20s,Female,Married,University,Use of Revolving Credit
58087.234,780.1666666666670,9977.166666666670,665,early 20s,Female,Single,University,Use of Revolving Credit
197893.47,5666.666666666670,122553.0,686,late 30s,Female,Married,University,Use of Revolving Credit
141743.92,1986.6666666666700,23422.5,676,early 30s,Male,Single,Graduate School,Use of Revolving Credit
181994.08,4369.833333333330,130377.5,682,early 20s,Female,Single,Graduate School,Use of Revolving Credit
122850.41,8579.666666666670,15187.333333333300,649,40,Male,Single,High School,Use of Revolving Credit
129129.664,2333.333333333330,39646.5,674,early 30s,Male,Married,University,Use of Revolving Credit
165109.53,11999.833333333300,34231.666666666700,670,late 30s,Female,Married,University,Use of Revolving Credit
281670.5,17382.0,17060.666666666700,709,late 30s,Female,Single,Graduate School,Paid In Full
88540.805,1686.1666666666700,38702.0,673,early 20s,Female,Married,University,Use of Revolving Credit
167773.98,4075.0,102563.83333333300,673,early 30s,Female,Single,University,Use of Revolving Credit
132486.38,3289.5,6477.333333333330,683,late 20s,Female,Single,Graduate School,Use of Revolving Credit
37514.742,1253.1666666666700,28806.33333333330,672,early 20s,Female,Married,University,Late Payment
45185.383,1004.6666666666700,41770.16666666670,669,early 20s,Male,Single,University,Late Payment
198919.52,4384.333333333330,114445.0,689,early 30s,Female,Married,University,Use of Revolving Credit
198587.58,3301.333333333330,139207.16666666700,682,40,Female,Married,High School,Use of Revolving Credit
90625.8,6500.0,23755.5,665,early 20s,Female,Married,University,Use of Revolving Credit
266906.06,12414.5,11946.333333333300,708,late 30s,Male,Married,Graduate School,Paid In Full
143303.55,4041.0,103335.16666666700,677,early 20s,Female,Single,University,Use of Revolving Credit
161890.45,2150.0,59888.66666666670,680,late 20s,Male,Single,Graduate School,Use of Revolving Credit
157170.17,3416.6666666666700,76802.83333333330,681,late 20s,Female,Married,University,Use of Revolving Credit
